epoch,train_loss,learning_rate,selection_value,validation_accuracy,validation_balanced_accuracy,validation_auroc,validation_macro_dataset_auroc,validation_eer,validation_tpr_at_target_fpr,dfd_auroc,celebdfv3_auroc,embedding_variance_mean,stage1_saturated,stage2_saturated,stage3_saturated,stage3_output_std
1,1.5553122763423215,9.5e-05,0.7172289823008849,0.672316384180791,0.5672013274336283,0.7172289823008849,0.7172289823008849,0.3566786504424779,0.1875,,0.7172289823008849,0.08481597686763793,0.0,0.0,0.2148437350988388,0.36794736981391907
2,0.9308203668325994,9.025e-05,0.7000829646017698,0.6949152542372882,0.5984513274336283,0.7000829646017698,0.7000829646017698,0.3733407079646018,0.25,,0.7000829646017698,0.007073031554474191,0.0,0.06335704028606415,0.6668872237205505,0.4407764673233032
3,0.8430728360852545,8.573749999999999e-05,0.6180862831858408,0.6836158192090396,0.5828263274336283,0.6180862831858408,0.6180862831858408,0.41551438053097345,0.21875,,0.6180862831858408,0.023090576022731405,0.0,0.2095242738723755,0.7929626703262329,0.43414306640625
4,0.8449499904684006,8.145062499999998e-05,0.726216814159292,0.7175141242937854,0.6297013274336283,0.726216814159292,0.726216814159292,0.3611034292035398,0.3125,,0.726216814159292,0.008920239533320454,0.0,0.26987916231155396,0.7499999403953552,0.43497902154922485
5,0.8066755903863498,7.737809374999998e-05,0.7397676991150443,0.711864406779661,0.6218888274336283,0.7397676991150443,0.7397676991150443,0.3444413716814159,0.28125,,0.7397676991150443,0.00989653436822422,0.0,0.3365006744861603,0.7343749403953552,0.43444839119911194
6,0.8438465419676623,7.350918906249998e-05,0.752212389380531,0.6949152542372882,0.5984513274336283,0.752212389380531,0.752212389380531,0.32674225663716816,0.25,,0.752212389380531,0.02081516886562483,0.0,0.3922875225543976,0.7712422013282776,0.4314280152320862
