epoch,train_loss,skipped_training_clips,learning_rate,selection_value,validation_accuracy,validation_balanced_accuracy,validation_auroc,validation_macro_dataset_auroc,validation_eer,validation_tpr_at_target_fpr,dfd_auroc,celebdfv3_auroc,embedding_variance_mean,stage1_saturated,stage2_saturated,stage3_saturated,stage3_output_std
1,1.6823759933031397,0,9.5e-05,0.4535947712418301,0.6935483870967742,0.49607843137254903,0.4535947712418301,0.4535947712418301,0.5830065359477123,0.058823529411764705,,,,,,,
2,1.5599769271793775,0,9.025e-05,0.5398692810457517,0.6935483870967742,0.49607843137254903,0.5398692810457517,0.5398692810457517,0.47973856209150323,0.058823529411764705,,,,,,,
3,1.7018681031186134,0,8.573749999999999e-05,0.6104575163398693,0.7258064516129032,0.5549019607843138,0.6104575163398693,0.6104575163398693,0.45751633986928103,0.17647058823529413,,,,,,,
4,1.6673684636079997,0,8.145062499999998e-05,0.5372549019607843,0.6935483870967742,0.49607843137254903,0.5372549019607843,0.5372549019607843,0.41699346405228754,0.058823529411764705,,,,,,,
5,0.7063999842284829,0,7.737809374999998e-05,0.40261437908496733,0.6774193548387096,0.4666666666666667,0.40261437908496733,0.40261437908496733,0.5202614379084967,0.0,,,,,,,
6,1.0848681920324452,0,7.350918906249998e-05,0.5934640522875817,0.6935483870967742,0.49607843137254903,0.5934640522875817,0.5934640522875817,0.40588235294117647,0.058823529411764705,,,,,,,
7,1.1887269320432097,0,6.983372960937497e-05,0.5111111111111111,0.6774193548387096,0.4666666666666667,0.5111111111111111,0.5111111111111111,0.4464052287581699,0.0,,,,,,,
8,0.7150629434659095,0,6.634204312890622e-05,0.4143790849673203,0.6774193548387096,0.4666666666666667,0.4143790849673203,0.4143790849673203,0.5313725490196078,0.0,,,,,,,
9,0.7431184930028394,0,6.30249409724609e-05,0.34901960784313724,0.6935483870967742,0.49607843137254903,0.34901960784313724,0.34901960784313724,0.5941176470588235,0.058823529411764705,,,,,,,
10,1.1945185400472838,0,5.987369392383786e-05,0.4013071895424837,0.6774193548387096,0.4666666666666667,0.4013071895424837,0.4013071895424837,0.542483660130719,0.0,,,,,,,
11,0.7376803732913686,0,5.688000922764596e-05,0.4522875816993464,0.6774193548387096,0.4666666666666667,0.4522875816993464,0.4522875816993464,0.5313725490196078,0.0,,,,,,,
12,0.6995480827208667,0,5.4036008766263664e-05,0.534640522875817,0.6935483870967742,0.49607843137254903,0.534640522875817,0.534640522875817,0.365359477124183,0.058823529411764705,,,,,,,
13,0.9332313002760202,0,5.133420832795048e-05,0.6274509803921569,0.7258064516129032,0.5549019607843138,0.6274509803921569,0.6274509803921569,0.48366013071895425,0.17647058823529413,,,,,,,
14,0.5967849968583323,0,4.876749791155295e-05,0.5947712418300654,0.6774193548387096,0.4666666666666667,0.5947712418300654,0.5947712418300654,0.40588235294117647,0.0,,,,,,,
15,0.8198040717979893,0,4.6329123015975305e-05,0.526797385620915,0.6774193548387096,0.4666666666666667,0.526797385620915,0.526797385620915,0.46862745098039216,0.0,,,,,,,
16,0.6110469631184969,0,4.4012666865176535e-05,0.41699346405228765,0.6774193548387096,0.4666666666666667,0.41699346405228765,0.41699346405228765,0.542483660130719,0.0,,,,,,,
17,0.7407786779513117,0,4.181203352191771e-05,0.5111111111111111,0.6774193548387096,0.4666666666666667,0.5111111111111111,0.5111111111111111,0.4241830065359477,0.0,,,,,,,
18,0.5798556734807789,0,3.972143184582182e-05,0.49411764705882355,0.6774193548387096,0.4666666666666667,0.49411764705882355,0.49411764705882355,0.5313725490196078,0.0,,,,,,,
19,0.7230197023745859,0,3.7735360253530726e-05,0.49803921568627446,0.6774193548387096,0.4666666666666667,0.49803921568627446,0.49803921568627446,0.5202614379084967,0.0,,,,,,,
20,0.5403659566654824,0,3.584859224085419e-05,0.4366013071895425,0.6935483870967742,0.49607843137254903,0.4366013071895425,0.4366013071895425,0.5202614379084967,0.0,,,,,,,
21,0.591103219834622,0,3.405616262881148e-05,0.6065359477124183,0.6774193548387096,0.4666666666666667,0.6065359477124183,0.6065359477124183,0.39477124183006534,0.0,,,,,,,
22,0.6385667803479009,0,3.2353354497370904e-05,0.465359477124183,0.6935483870967742,0.49607843137254903,0.465359477124183,0.465359477124183,0.5313725490196078,0.0,,,,,,,
23,0.4938461894344073,0,3.0735686772502355e-05,0.584313725490196,0.7258064516129032,0.5549019607843138,0.584313725490196,0.584313725490196,0.40588235294117647,0.11764705882352941,,,,,,,
24,0.5297279700826039,0,2.9198902433877236e-05,0.5607843137254902,0.6774193548387096,0.4666666666666667,0.5607843137254902,0.5607843137254902,0.5130718954248366,0.0,,,,,,,
