epoch,train_loss,learning_rate,selection_value,validation_accuracy,validation_balanced_accuracy,validation_auroc,validation_macro_dataset_auroc,validation_eer,validation_tpr_at_target_fpr,dfd_auroc,celebdfv3_auroc,embedding_variance_mean
48,0.2935699954628944,8.525759033430814e-05,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,2.0960797954253914
49,0.2935035049915314,8.099471081759274e-05,0.61,0.55,0.55,0.61,0.61,0.55,0.1,0.61,,2.1270723443751183
50,0.29345631301403047,7.69449752767131e-05,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,2.0029683086713224
51,0.29345382153987887,7.309772651287744e-05,0.6,0.55,0.55,0.6,0.6,0.45,0.1,0.6,,1.659142488131202
52,0.2932694599032402,6.944284018723356e-05,0.6,0.55,0.55,0.6,0.6,0.45,0.1,0.6,,1.904049789606809
53,0.29362912476062775,6.597069817787189e-05,0.6,0.55,0.55,0.6,0.6,0.45,0.1,0.6,,1.7583508190002561
54,0.2934642493724823,6.267216326897829e-05,0.6000000000000001,0.55,0.55,0.6000000000000001,0.6000000000000001,0.55,0.1,0.6000000000000001,,2.3921715840088664
55,0.29331394731998445,5.953855510552937e-05,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,2.1062029523833656
56,0.29348365068435667,5.65616273502529e-05,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.7775603652646688
57,0.29329103529453276,5.373354598274025e-05,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.6311845852741014
58,0.2931870833039284,5.104686868360323e-05,0.6,0.55,0.55,0.6,0.6,0.45,0.1,0.6,,1.5912472963364757
59,0.29318746626377107,4.849452524942307e-05,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.53220158393033
60,0.29331297278404234,4.606979898695191e-05,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,2.119417606643329
61,0.2930134266614914,4.376630903760431e-05,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,2.018920485944881
62,0.29314548075199126,4.157799358572409e-05,0.6,0.55,0.55,0.6,0.6,0.45,0.1,0.6,,1.9214528185103403
63,0.293289253115654,3.9499093906437885e-05,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.7895851580491864
64,0.29317059069871904,3.752413921111599e-05,0.61,0.55,0.55,0.61,0.61,0.55,0.1,0.61,,2.0026301253697674
65,0.293142606317997,3.564793225056019e-05,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.7295953780341198
66,0.29310605973005294,3.3865535638032174e-05,0.6,0.55,0.55,0.6,0.6,0.45,0.1,0.6,,1.8105410946922578
67,0.2931638494133949,3.2172258856130564e-05,0.61,0.55,0.55,0.61,0.61,0.55,0.1,0.61,,2.408701671106478
68,0.2929868385195732,3.056364591332403e-05,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.837681056153705
69,0.2929574176669121,2.903546361765783e-05,0.6,0.55,0.55,0.6,0.6,0.45,0.1,0.6,,1.917411825928863
70,0.29303099066019056,2.758369043677494e-05,0.6,0.55,0.55,0.6,0.6,0.45,0.1,0.6,,1.6497350008157508
71,0.2931071564555168,2.620450591493619e-05,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.7803005547576756
72,0.29319808036088946,2.489428061918938e-05,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.8870414954067476
73,0.29315036684274676,2.364956658822991e-05,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.7941026460236777
74,0.29317896515131,2.2467088258818413e-05,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,2.093628585694346
75,0.29291541278362276,2.134373384587749e-05,0.61,0.55,0.55,0.61,0.61,0.55,0.1,0.61,,2.0569883321110556
76,0.2929409697651863,2.0276547153583614e-05,0.61,0.55,0.55,0.61,0.61,0.55,0.1,0.61,,2.544636313657794
77,0.29298916161060334,1.9262719795904432e-05,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.8281840681224613
78,0.2930844694375992,1.829958380610921e-05,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.7365859140029516
79,0.29298706650733947,1.738460461580375e-05,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.7811281549910027
80,0.2928913295269012,1.6515374385013564e-05,0.6000000000000001,0.55,0.55,0.6000000000000001,0.6000000000000001,0.55,0.1,0.6000000000000001,,2.1483077886263575
81,0.2927564114332199,1.5689605665762886e-05,0.61,0.55,0.55,0.61,0.61,0.55,0.1,0.61,,2.162368679044278
82,0.2929434910416603,1.490512538247474e-05,0.61,0.55,0.55,0.61,0.61,0.55,0.1,0.61,,2.1559932654404133
83,0.2927981659770012,1.4159869113351003e-05,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,2.0695215013662094
84,0.2928753405809402,1.3451875657683452e-05,0.61,0.55,0.55,0.61,0.61,0.55,0.1,0.61,,1.9421089308234216
85,0.29276345372200013,1.277928187479928e-05,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,2.07931203970202
86,0.292953784763813,1.2140317781059316e-05,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,2.189323926437458
87,0.2929259672760963,1.153330189200635e-05,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.871186359776389
88,0.29291305541992185,1.0956636797406032e-05,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.9050902897441881
89,0.29290840178728106,1.0408804957535729e-05,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.5989917260557924
90,0.29293170273303987,9.888364709658941e-06,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,2.3037816985999493
91,0.2928578853607178,9.393946474175994e-06,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.9029627619082645
92,0.2928085565567017,8.924249150467194e-06,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,2.224414973954216
93,0.2929124802350998,8.478036692943835e-06,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,2.131118700938468
94,0.2929662957787514,8.054134858296643e-06,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.7341189809365636
95,0.29288691878318784,7.65142811538181e-06,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.8532462692095404
96,0.2928207412362099,7.26885670961272e-06,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.7804478631192788
97,0.29280167520046235,6.905413874132084e-06,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.7793345947042067
98,0.292815288901329,6.5601431804254795e-06,0.61,0.55,0.55,0.61,0.61,0.55,0.1,0.61,,1.86664907557785
99,0.2928562566637993,6.232136021404205e-06,0.61,0.55,0.55,0.61,0.61,0.55,0.1,0.61,,1.930670564364788
100,0.2927767589688301,5.920529220333994e-06,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,2.017756623154294
101,0.29281737208366393,5.624502759317295e-06,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,2.0816255493440448
102,0.29294769316911695,5.34327762135143e-06,0.61,0.55,0.55,0.61,0.61,0.55,0.1,0.61,,2.0207314261216562
103,0.2929450884461403,5.076113740283858e-06,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.7797703343135294
104,0.2928949147462845,4.8223080532696655e-06,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.9826350106546373
105,0.2926686406135559,4.581192650606182e-06,0.6,0.55,0.55,0.6,0.6,0.45,0.1,0.6,,1.6137917525510077
106,0.29275074154138564,4.3521330180758725e-06,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,2.003310804719314
107,0.2929067090153694,4.1345263671720786e-06,0.62,0.55,0.55,0.62,0.62,0.5,0.1,0.62,,2.0738635430998493
108,0.29294325709342955,3.927800048813474e-06,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.8486055195118396
109,0.2929145336151123,3.7314100463728006e-06,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.6479626727118348
110,0.2927448064088821,3.5448395440541604e-06,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.7673159195392159
111,0.2928955122828484,3.3675975668514524e-06,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,2.083236904425035
112,0.29276378005743026,3.1992176885088796e-06,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.828782857029422
113,0.29280770719051363,3.0392568040834356e-06,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,2.1007962466843693
114,0.2927922591567039,2.8872939638792635e-06,0.61,0.55,0.55,0.61,0.61,0.55,0.1,0.61,,1.9640304415321692
115,0.29281203597784045,2.7429292656853003e-06,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.730240434902514
116,0.2928144037723541,2.605782802401035e-06,0.61,0.55,0.55,0.61,0.61,0.55,0.1,0.61,,2.0556630423641344
117,0.2928914949297905,2.475493662280983e-06,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,2.5198069910063854
118,0.29279121160507204,2.351718979166934e-06,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.6649825134740774
119,0.2926837921142578,2.234133030208587e-06,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.7411089603993546
120,0.2928101450204849,2.1224263786981576e-06,0.61,0.55,0.55,0.61,0.61,0.55,0.1,0.61,,2.0710522943694567
121,0.29286674559116366,2.0163050597632494e-06,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,2.123355160290485
122,0.2928094044327736,1.915489806775087e-06,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.984937100558767
123,0.2927187532186508,1.8197153164363325e-06,0.61,0.55,0.55,0.61,0.61,0.55,0.1,0.61,,1.895834915087059
124,0.29276218414306643,1.7287295506145157e-06,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.9958984875149204
125,0.2928970143198967,1.6422930730837899e-06,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,2.0119357242756193
126,0.2928732067346573,1.5601784194296004e-06,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.6890491830934504
127,0.29287912547588346,1.4821694984581202e-06,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.7335471983797373
128,0.29269358813762664,1.4080610235352142e-06,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,2.1250399858144
129,0.29287476688623426,1.3376579723584535e-06,0.61,0.55,0.55,0.61,0.61,0.55,0.1,0.61,,2.338869874456398
130,0.29280339628458024,1.2707750737405307e-06,0.6,0.55,0.55,0.6,0.6,0.45,0.1,0.6,,1.9383405107932472
131,0.2928697317838669,1.2072363200535042e-06,0.6,0.55,0.55,0.6,0.6,0.45,0.1,0.6,,1.6251032630229156
132,0.2927387490868568,1.146874504050829e-06,0.6,0.55,0.55,0.6,0.6,0.45,0.1,0.6,,1.6790250109265983
133,0.2927459791302681,1.0895307788482876e-06,0.6,0.55,0.55,0.6,0.6,0.45,0.1,0.6,,1.5875266398738266
134,0.29289029687643053,1.0350542399058731e-06,0.6,0.55,0.55,0.6,0.6,0.45,0.1,0.6,,1.6168312862457692
135,0.2928257122635841,9.833015279105794e-07,0.61,0.55,0.55,0.61,0.61,0.55,0.1,0.61,,2.154770851128193
136,0.2928524807095528,9.341364515150503e-07,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.725020391168872
137,0.29291142970323564,8.874296289392978e-07,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.827207004135653
138,0.2927954211831093,8.430581474923329e-07,0.6,0.55,0.55,0.6,0.6,0.45,0.1,0.6,,1.9686192050209441
139,0.2928202152252197,8.009052401177162e-07,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,2.007254970906242
140,0.29285248667001723,7.608599781118303e-07,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.955119986482559
141,0.2927997887134552,7.228169792062388e-07,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.772523254085057
142,0.29280555099248884,6.866761302459269e-07,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.8189102881057455
143,0.29274723380804063,6.523423237336305e-07,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,2.1258310476928175
144,0.29276819676160815,6.197252075469489e-07,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,2.0006225639869015
145,0.2926498368382454,5.887389471696014e-07,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.8351702395891782
146,0.2927483066916466,5.593019998111213e-07,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,1.6807480385332494
147,0.2928039640188217,5.313368998205652e-07,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,2.1609027086410686
148,0.29274829626083376,5.047700548295369e-07,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,2.003166528778201
149,0.2927404433488846,4.7953155208806e-07,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,2.0302400109839804
150,0.29288061112165453,4.55554974483657e-07,0.61,0.55,0.55,0.61,0.61,0.5,0.1,0.61,,2.2348108055819034
