epoch,train_loss,learning_rate,selection_value,validation_accuracy,validation_balanced_accuracy,validation_auroc,validation_macro_dataset_auroc,validation_eer,validation_tpr_at_target_fpr,dfd_auroc,celebdfv3_auroc,embedding_variance_mean,stage1_saturated,stage2_saturated,stage3_saturated,stage3_output_std
1,1.5738913306501523,9.5e-05,0.6955199115044248,0.6949152542372882,0.5984513274336283,0.6955199115044248,0.6955199115044248,0.3522538716814159,0.25,,0.6955199115044248,0.13058746017548212,0.0,0.028561729937791824,0.1604548543691635,0.39543864130973816
2,0.9275316727358307,9.025e-05,0.7039546460176992,0.7062146892655368,0.6140763274336283,0.7039546460176992,0.7039546460176992,0.3444413716814159,0.265625,,0.7039546460176992,0.004279792690549293,0.0,0.1951788365840912,0.6994910836219788,0.4827577471733093
3,0.8036003380430464,8.573749999999999e-05,0.6457411504424779,0.6779661016949152,0.5750138274336283,0.6457411504424779,0.6457411504424779,0.42332688053097345,0.171875,,0.6457411504424779,0.02115330072544325,0.0,0.2918614149093628,0.7760564088821411,0.47610029578208923
4,0.8142954422796045,8.145062499999998e-05,0.7018805309734514,0.6949152542372882,0.5984513274336283,0.7018805309734514,0.7018805309734514,0.3444413716814159,0.203125,,0.7018805309734514,0.01403631265197679,0.0,0.4049784541130066,0.7738450169563293,0.4798978865146637
5,0.8184711089081224,7.737809374999998e-05,0.7605088495575222,0.6892655367231638,0.5906388274336283,0.7605088495575222,0.7605088495575222,0.332204092920354,0.21875,,0.7605088495575222,0.011823210219172155,0.0,0.42747530341148376,0.7744100093841553,0.4786832630634308
