detector,mode,dataset,class_name,shape,method,path,frames,detected,clips,clips_complete,clips_empty,box_width_px,clip_jitter,seconds_per_frame
mtcnn,train,CelebDFv3,fake,square,TalkingFace/AniTalker,FAKE/TalkingFace/AniTalker/id29_0005_test_id02286_cp_LOv6mdJA.mp4,32,32,4,4,0,120.5,0.012828420621872949,0.004104286432266235
retinaface,train,CelebDFv3,fake,square,TalkingFace/AniTalker,FAKE/TalkingFace/AniTalker/id29_0005_test_id02286_cp_LOv6mdJA.mp4,32,32,4,4,0,116.0,0.014517619633225513,0.01573123037815094
haar,train,CelebDFv3,fake,square,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id0_id3_0001.mp4,32,32,4,4,0,136.5,0.005356132247959916,0.0074746012687683105
mtcnn,train,CelebDFv3,fake,square,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id0_id3_0001.mp4,32,32,4,4,0,103.75,0.007887247347304838,0.004371777176856995
retinaface,train,CelebDFv3,fake,square,FaceReenact/DaGAN,FAKE/FaceReenact/DaGAN/id0_id3_0001.mp4,32,32,4,4,0,106.5,0.005204185081409528,0.01619240641593933
haar,train,CelebDFv3,fake,square,FaceReenact/LIA,FAKE/FaceReenact/LIA/id20_id1_0008.mp4,32,20,4,1,0,186.75,0.03648448188034547,0.010046243667602539
mtcnn,train,CelebDFv3,fake,square,FaceReenact/LIA,FAKE/FaceReenact/LIA/id20_id1_0008.mp4,32,32,4,4,0,142.25,0.016805827085971732,0.00682850182056427
retinaface,train,CelebDFv3,fake,square,FaceReenact/LIA,FAKE/FaceReenact/LIA/id20_id1_0008.mp4,32,32,4,4,0,133.0,0.010984799015348712,0.01574133336544037
haar,train,CelebDFv3,fake,square,FaceSwap/Celeb-DF-v2,FAKE/FaceSwap/Celeb-DF-v2/id47_id42_0006.mp4,32,32,4,4,0,115.5,0.0024856330990398697,0.028021544218063354
mtcnn,train,CelebDFv3,fake,square,FaceSwap/Celeb-DF-v2,FAKE/FaceSwap/Celeb-DF-v2/id47_id42_0006.mp4,32,32,4,4,0,96.0,0.0027722734557867664,0.058707959949970245
retinaface,train,CelebDFv3,fake,square,FaceSwap/Celeb-DF-v2,FAKE/FaceSwap/Celeb-DF-v2/id47_id42_0006.mp4,32,32,4,4,0,104.0,0.0015315355970714536,0.02767898142337799
haar,train,CelebDFv3,fake,square,TalkingFace/AniTalker,FAKE/TalkingFace/AniTalker/id20_0009_test_id08701_A2nebxHmWOU.mp4,32,32,4,4,0,151.25,0.0075525909116900556,0.009851299226284027
mtcnn,train,CelebDFv3,fake,square,TalkingFace/AniTalker,FAKE/TalkingFace/AniTalker/id20_0009_test_id08701_A2nebxHmWOU.mp4,32,32,4,4,0,110.25,0.008432244781365797,0.005441702902317047
retinaface,train,CelebDFv3,fake,square,TalkingFace/AniTalker,FAKE/TalkingFace/AniTalker/id20_0009_test_id08701_A2nebxHmWOU.mp4,32,32,4,4,0,111.25,0.00660818641088113,0.016865834593772888
haar,train,CelebDFv3,fake,square,FaceSwap/Celeb-DF-v2,FAKE/FaceSwap/Celeb-DF-v2/id20_id2_0008.mp4,32,32,4,4,0,163.5,0.004256626006206311,0.022012121975421906
